年別,行業,所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],[1]農業淨收入[NT],[2]營業淨收入[NT],[3]執行業務淨收入[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]可支配所得[NT]
113年,批發及零售業,279593,1002767,640064,512145,0,127919,200053,0,200053,-,36330,43138,83182,22073,17090,42652,1002,364,0,184170,7955,176214,46106,27360,97260,5487,818598
113年,運輸及倉儲業,64019,970305,623256,476563,7640,139053,176416,0,176416,-,33081,49529,88023,23985,18144,45603,291,0,0,169415,7353,162062,43486,24579,93914,84,800890
113年,住宿及餐飲業,89575,723880,465845,393423,353,72069,141661,0,141661,-,13708,19811,82855,23557,17717,41462,120,0,0,98263,2205,96059,21287,8269,66503,0,625617
113年,出版影音及資通訊業,87979,1218381,994266,764660,0,229606,71483,0,71483,-,40470,57380,54782,13300,18848,21845,789,0,0,263181,15410,247771,49776,56079,141915,1,955200
113年,金融及保險業,107227,1385810,1192911,859507,1784,331620,9643,0,9643,-,55894,56146,71216,12803,18982,33024,498,5909,0,338240,23038,315203,63183,102704,149265,50,1047569
113年,不動產業,14444,1443338,1048629,777433,4481,266714,201070,0,201070,-,51972,61872,79796,2997,17370,59429,0,0,0,234348,17527,216821,68287,56891,91643,0,1208991
113年,專業、科學及技術服務業,92577,1193075,825738,650371,0,175367,204574,0,204574,-,59855,50827,52081,7045,14654,29863,518,0,0,261005,13747,247258,70333,53384,116876,6664,932070
113年,支援服務業,57680,777397,581976,483581,0,98394,40417,0,40417,-,25265,44770,84970,23568,22707,38125,0,570,0,123149,2471,120678,28235,14867,77576,0,654248
113年,公共行政及國防,51743,1240802,1025353,731667,17562,276124,0,0,0,-,47805,68349,99295,12447,6295,78989,1564,0,0,251589,20316,231274,57542,41232,132482,17,989213
113年,教育服務業,79993,1127658,914584,730652,0,183932,23849,0,23849,-,34020,55974,99231,16274,18513,60791,252,3402,0,236612,12867,223745,58088,34125,131531,0,891046
113年,醫療保健及社會工作服務業,72639,1161263,931061,712434,19471,199157,88336,0,88336,-,40141,41165,60560,5496,15836,38948,279,0,0,247370,8940,238429,46925,74312,113892,3300,913893
113年,藝術、娛樂及休閒服務業,16580,943007,620066,503263,0,116803,213801,0,213801,-,29574,38991,40574,3422,13581,23571,0,0,0,145892,2067,143825,46321,24818,72687,0,797116
113年,其他服務業,63585,869326,507954,430509,505,76940,180542,0,180542,-,30703,30813,119315,23355,22882,73078,0,0,0,127416,2781,124635,35016,20211,68551,857,741910
113年,無業者,774739,550080,106893,0,104067,2826,0,0,0,-,148805,60380,233987,84266,18343,129140,697,1542,14,53337,2988,50350,23554,9539,16371,886,496742
